TranscriptName	GeneGo	length
XM_012839369.2	 GO:0005912;GO:0033391;GO:0061830;GO:0005737;GO:0036464;GO:0010494;GO:0005829;GO:0000792;GO:0005739;GO:0005730;GO:0005634;GO:0001520;GO:0000932;GO:0048471;GO:0016442;GO:0097227;GO:0005524;GO:0003729;GO:0019904;GO:0003723;GO:0003724;GO:0033962;GO:0045665;GO:0048515;GO:0019827;GO:0034063;GO:0019074;	3793
XM_012829547.2	 GO:0010494;GO:0005829;GO:0005634;GO:0000932;GO:0016442;GO:0005524;GO:0003729;GO:0019904;GO:0003723;GO:0003724;GO:0033962;GO:0045665;GO:0019827;GO:0034063;GO:0019074;	2220
XM_012839600.2	 GO:0005887;GO:0008076;GO:0044325;GO:0099104;GO:0005249;GO:1903818;GO:0071805;GO:0022414;	41184
XM_031569623.1	 GO:0016021;GO:0005637;GO:0000030;GO:0018406;	695
XM_012815754.2	 GO:0005737;GO:0005829;GO:0005634;GO:0000932;GO:1990904;GO:0071889;GO:0003677;GO:0003700;GO:0000981;GO:0046872;GO:0035925;GO:0003729;GO:0003723;GO:0061158;GO:0006915;GO:0008283;GO:0071320;GO:0071364;GO:0044344;GO:0071385;GO:0071456;GO:0032869;GO:0071375;GO:0097403;GO:0071472;GO:0071560;GO:0071356;GO:0060710;GO:0070371;GO:0007507;GO:0000165;GO:0048382;GO:0006397;GO:0051028;GO:0035264;GO:0045647;GO:1901991;GO:0021915;GO:0000288;GO:0031086;GO:0038066;GO:0014065;GO:0045600;GO:1904582;GO:0045657;GO:1900153;GO:0003342;GO:0043491;GO:0045577;GO:0010468;GO:1902172;GO:0045616;GO:0010837;GO:0031440;GO:0043488;GO:0045661;GO:0072091;GO:0009611;GO:0060712;GO:0033077;GO:0001570;	10723
XM_031573757.1	 GO:0005912;GO:0043296;GO:0044291;GO:0030425;GO:0005576;GO:0032584;GO:0098686;GO:0016021;GO:0099059;GO:0043231;GO:0016020;GO:0005886;GO:0030246;GO:0050839;GO:0015026;GO:0042802;GO:0042803;GO:0044877;GO:0046790;GO:0001618;GO:0034332;GO:0007411;GO:0007155;GO:0098609;GO:0002934;GO:0070166;GO:0007157;GO:0007156;GO:0006955;GO:0006826;GO:0002089;GO:1902414;GO:0051963;GO:0060041;GO:0046718;GO:0019062;	57436
XR_004164924.1	-	34
XM_012830467.2	 GO:0005912;GO:0043296;GO:0030424;GO:0044291;GO:0030425;GO:0032584;GO:0098686;GO:0016021;GO:0099059;GO:0043231;GO:0043005;GO:0005886;GO:0045202;GO:0030246;GO:0050839;GO:0042802;GO:0042803;GO:0044877;GO:0038023;GO:0046790;GO:0007411;GO:0048593;GO:0098609;GO:0002934;GO:0070166;GO:0007157;GO:0007156;GO:0006826;GO:0002089;GO:1902414;GO:0051963;GO:0060041;GO:0046718;GO:0019062;	6403
XM_031571493.1	 GO:0005912;GO:0043296;GO:0044291;GO:0030425;GO:0005576;GO:0032584;GO:0098686;GO:0016021;GO:0099059;GO:0043231;GO:0016020;GO:0005886;GO:0030246;GO:0050839;GO:0015026;GO:0042802;GO:0042803;GO:0044877;GO:0046790;GO:0001618;GO:0034332;GO:0007411;GO:0007155;GO:0098609;GO:0002934;GO:0070166;GO:0007157;GO:0007156;GO:0006955;GO:0006826;GO:0002089;GO:1902414;GO:0051963;GO:0060041;GO:0046718;GO:0019062;	1705
XM_031571701.1	 GO:0005737;GO:0030425;GO:0005769;GO:0098978;GO:0005794;GO:0098794;GO:0061630;GO:0004842;GO:0008270;GO:0043161;GO:0000209;GO:0015031;GO:0016567;	78342
XM_012822017.2	 GO:0005737;GO:0061630;GO:0008270;GO:0042692;	1141
XM_012822016.2	 GO:0005737;GO:0005829;GO:0061630;GO:0008270;GO:0042692;GO:0043687;GO:0000209;	39
XR_004166024.1	 GO:0000784;GO:0016607;GO:0000445;GO:0000346;GO:0003723;GO:0006406;GO:0006397;GO:0008380;GO:0046784;	32
XR_004165400.1	-	20
XM_012822007.2	 GO:0005096;GO:0007165;	32540
XM_012830953.2	 GO:0005829;GO:0042025;GO:0000790;GO:0016363;GO:0005634;GO:0032993;GO:0043235;GO:0031490;GO:0003700;GO:0019899;GO:0030544;GO:0051879;GO:0043565;GO:1990239;GO:0003707;GO:0008270;GO:0043627;GO:0032570;	1936
XM_012822005.2	 GO:0034703;GO:0005737;GO:0005887;GO:0016020;GO:0005886;GO:0036057;GO:0003779;GO:0042805;GO:0051117;GO:0005261;GO:0030276;GO:0070679;GO:0042803;GO:0015279;GO:0007568;GO:0070588;GO:0006812;GO:0070301;GO:0071456;GO:0006828;GO:0050774;GO:0030182;GO:0030168;GO:0051928;GO:0007204;GO:0032414;GO:0045666;GO:0010800;GO:0051480;GO:0007338;	1147
XM_031572982.1	 GO:0005737;GO:0005829;GO:0005886;GO:0005547;GO:0043325;GO:0005068;GO:0007411;GO:0019221;GO:0038095;GO:0030316;GO:0048015;GO:0008284;GO:0043306;	11464
XM_031572984.1	 GO:0005737;GO:0005829;GO:0005886;GO:0005547;GO:0043325;GO:0005068;GO:0007411;GO:0019221;GO:0038095;GO:0030316;GO:0048015;GO:0008284;GO:0043306;	11895
XM_012824015.2	 GO:0016607;GO:0005654;GO:0003713;GO:0007221;	2582
XM_031574545.1	 GO:0001650;GO:0000790;GO:0005654;GO:0005634;GO:0001228;GO:0003700;GO:0000981;GO:0000978;GO:0006260;GO:0000122;GO:0042475;GO:0045944;GO:0006366;	20
XM_031574548.1	 GO:0005634;GO:0003677;GO:0000981;GO:0006260;GO:0000122;GO:0045944;	20
XM_012830927.2	 GO:0005829;GO:0005759;GO:0005739;GO:0005654;GO:0004816;GO:0005524;GO:0003676;GO:0006421;	409
XM_012830933.2	 GO:0005737;GO:0016021;GO:0016020;GO:0043005;GO:0005634;GO:0005886;GO:0003824;GO:0050839;GO:0046982;GO:0042803;GO:0007411;GO:0032289;GO:0007157;GO:0007156;GO:0048666;GO:2000543;GO:0031643;GO:0010976;GO:0048714;GO:0031641;GO:0007165;	45064
XM_031562591.1	 GO:0002080;GO:0001669;GO:0031225;GO:0009897;GO:0005576;GO:0005886;GO:0004415;GO:0005975;GO:0007342;GO:0007341;	50
XM_031574110.1	-	7891
XR_004165407.1	-	40520
XM_012827419.2	 GO:0032154;GO:0005737;GO:0043197;GO:0005525;GO:0003924;GO:0016477;GO:0042074;GO:0040001;GO:0043066;GO:0048840;GO:0036342;GO:0032956;GO:0035023;GO:0007266;GO:1902766;GO:0043149;GO:0016055;GO:0044319;	20
XM_012830932.2	-	363
XM_012830919.2	 GO:0005801;GO:0012505;GO:0031985;GO:0000139;GO:0005795;GO:0043231;GO:0005802;GO:0005525;GO:0003924;GO:0007030;GO:0006886;GO:0032482;	727
XM_012830902.2	 GO:0001750;GO:0005509;GO:0008048;GO:0030249;GO:0071277;GO:0007602;GO:0031284;GO:0007601;	655
XM_012830900.2	 GO:0009986;GO:0016021;GO:0045121;GO:0043005;GO:0005886;GO:0001616;GO:0016520;GO:0008154;GO:0008343;GO:0032869;GO:0046697;GO:0030252;GO:0009755;GO:0050728;GO:0032691;GO:0045409;GO:0042536;GO:0032100;GO:0043568;GO:0040018;GO:0051963;GO:0032094;	316
XM_012830939.2	 GO:0001669;GO:0005829;GO:0005794;GO:0000139;GO:0016021;GO:0016020;GO:0012506;GO:0003723;GO:0098609;GO:0009566;GO:0060009;GO:0007286;	1679
XM_012830941.2	 GO:0001669;GO:0005829;GO:0005794;GO:0000139;GO:0016021;GO:0016020;GO:0012506;GO:0003723;GO:0098609;GO:0009566;GO:0060009;GO:0007286;	7295
XM_031573003.1	 GO:0001669;GO:0005829;GO:0005794;GO:0000139;GO:0016021;GO:0016020;GO:0012506;GO:0003723;GO:0098609;GO:0009566;GO:0060009;GO:0007286;	14990
XM_012830948.2	-	3326
XM_031573005.1	-	3331
XM_012830946.2	-	3590
XM_012830949.2	 GO:0005887;GO:0005886;GO:0004930;GO:0070915;GO:0001835;GO:0051482;GO:0035025;	308
XM_031572378.1	 GO:0005887;GO:0005886;GO:0004930;GO:0070915;GO:0001835;GO:0051482;GO:0035025;	7343
XM_012830966.2	-	12549
XM_031573007.1	 GO:0000139;GO:0017119;GO:0070085;GO:0006891;GO:0015031;	5303
XM_012830937.2	 GO:0005737;GO:0005634;GO:0003700;GO:0000981;GO:0043565;GO:0008134;GO:0042593;GO:0008286;GO:0001945;GO:0000122;GO:0045944;	10785
XM_012832062.2	 GO:0005737;GO:0005829;GO:0005634;GO:0031490;GO:0001228;GO:0003700;GO:0019901;GO:0000978;GO:0043565;GO:0006915;GO:0034599;GO:0010508;GO:0014737;GO:0043525;GO:0045944;GO:0045893;GO:0006357;GO:0070542;GO:0042594;GO:0033209;	9759
XM_031572818.1	 GO:0005737;GO:0005634;GO:0003700;GO:0000981;GO:0043565;GO:0008134;GO:0042593;GO:0008286;GO:0001945;GO:0000122;GO:0045944;	161
XM_031574115.1	 GO:0034703;GO:0005887;GO:0070679;GO:0015279;GO:0070588;GO:0006828;GO:0051480;	3210
XM_031572753.1	 GO:0034703;GO:0005887;GO:0070679;GO:0015279;GO:0070588;GO:0006828;GO:0051480;	1813
XM_012822965.2	 GO:0034704;GO:0034703;GO:0005737;GO:0030425;GO:0030426;GO:0005887;GO:0045121;GO:0043025;GO:0005886;GO:0003779;GO:0042805;GO:0051117;GO:0005262;GO:0030276;GO:0070679;GO:0015279;GO:0070588;GO:0006816;GO:0006828;GO:0050774;GO:0007399;GO:0030182;GO:0045773;GO:0008284;GO:0007204;GO:0010800;GO:0051480;GO:1902630;	1023
XM_012837954.2	 GO:0062023;GO:0005737;GO:0031012;GO:0005615;GO:0031594;GO:0005802;GO:0050839;GO:0008201;GO:0046872;GO:1990523;GO:0007155;GO:0044344;GO:0071560;GO:0071356;GO:0071307;GO:0030198;GO:0001953;GO:1900025;GO:1990138;GO:1904209;GO:0014911;GO:0008593;GO:0003073;GO:0032355;GO:0001666;GO:0009612;GO:0014850;GO:0009888;	2516
XM_031573050.1	 GO:0005737;GO:0005829;GO:0005811;GO:0030496;GO:0005741;GO:0005886;GO:0045202;GO:0031625;GO:0009838;GO:0060612;GO:0051301;GO:0034389;GO:0030514;GO:0048698;GO:0050905;GO:0051881;	1171
XM_012837952.2	 GO:0005737;GO:0005829;GO:0005811;GO:0030496;GO:0005741;GO:0005886;GO:0045202;GO:0031625;GO:0009838;GO:0060612;GO:0051301;GO:0034389;GO:0030514;GO:0048698;GO:0050905;GO:0051881;	1690
XM_031571351.1	 GO:0005930;GO:0005856;GO:0005829;GO:0005874;GO:0005875;GO:0043005;GO:0008017;GO:0019901;GO:0035082;GO:0007417;GO:0035556;GO:0007399;GO:0001764;GO:0042461;GO:0060041;	60
XM_031573051.1	 GO:0014069;GO:0005524;GO:0004672;GO:0004674;GO:0048675;GO:0007409;GO:0007420;GO:0021952;GO:0048813;GO:0030900;GO:0035556;GO:1900181;GO:0001764;GO:0048812;GO:0018105;GO:0009615;	3004
XM_031573052.1	 GO:0005887;GO:0014069;GO:0005524;GO:0004672;GO:0004674;GO:0048675;GO:0007417;GO:0021952;GO:0048813;GO:0016197;GO:0030900;GO:0035556;GO:1900181;GO:0007399;GO:0001764;GO:0048812;GO:0018105;GO:0006468;GO:0009615;	3004
XM_031572031.1	 GO:0005887;GO:0014069;GO:0005524;GO:0004672;GO:0004674;GO:0048675;GO:0007417;GO:0021952;GO:0048813;GO:0016197;GO:0030900;GO:0035556;GO:1900181;GO:0007399;GO:0001764;GO:0048812;GO:0018105;GO:0006468;GO:0009615;	1250
XM_031573056.1	 GO:0005829;GO:0012505;GO:0005634;GO:0005886;GO:0005802;GO:0019901;GO:0008104;	88526
XM_031572011.1	 GO:0005829;GO:0012505;GO:0005634;GO:0005886;GO:0045211;GO:0005802;GO:0051018;GO:0019901;GO:0006892;GO:0008104;GO:0006605;	87363
XM_031572012.1	 GO:0005829;GO:0012505;GO:0005634;GO:0005886;GO:0005802;GO:0019901;GO:0008104;	87363
XM_031572013.1	 GO:0005829;GO:0012505;GO:0005634;GO:0005886;GO:0005802;GO:0019901;GO:0008104;	90473
XM_031572019.1	 GO:0005829;GO:0012505;GO:0005634;GO:0005886;GO:0045211;GO:0005802;GO:0051018;GO:0019901;GO:0006892;GO:0008104;GO:0006605;	90473
XM_031580537.1	 GO:0016021;GO:0060337;	77667
XM_031573055.1	 GO:0005634;GO:0046872;GO:0000166;GO:0016779;GO:0007275;	1177
XM_031572022.1	 GO:0005829;GO:0012505;GO:0005634;GO:0005886;GO:0045211;GO:0005802;GO:0051018;GO:0019901;GO:0006892;GO:0008104;GO:0006605;	21915
XM_031572017.1	 GO:0005829;GO:0012505;GO:0005634;GO:0005886;GO:0005802;GO:0019901;GO:0008104;	20089
XM_012837942.2	 GO:0005829;GO:0005811;GO:0031966;GO:0005096;GO:0008289;GO:0030036;GO:0043542;GO:0097498;GO:0090051;GO:0035023;GO:0051056;GO:0007165;	2130
XM_031573058.1	 GO:0005811;GO:0031966;GO:0005096;GO:0008289;GO:0030036;GO:0007049;GO:0043542;GO:0097498;GO:0090051;GO:1903671;GO:0035023;GO:0007165;	2130
XM_031573057.1	 GO:0005811;GO:0031966;GO:0005096;GO:0008289;GO:0030036;GO:0007049;GO:0043542;GO:0097498;GO:0090051;GO:1903671;GO:0035023;GO:0007165;	2133
XM_031573061.1	 GO:0005829;GO:0005811;GO:0031966;GO:0005096;GO:0008289;GO:0030036;GO:0043542;GO:0097498;GO:0090051;GO:0035023;GO:0051056;GO:0007165;	2133
XM_031573266.1	 GO:0005737;GO:0005634;GO:0016300;GO:0002098;	1078
XM_031571798.1	 GO:0005938;GO:0005815;GO:0030427;GO:0000922;GO:0004857;GO:0000902;GO:1904428;GO:0031175;	4277
XM_031573259.1	 GO:0005938;GO:0005815;GO:0030427;GO:0000922;GO:0004857;GO:0000902;GO:1904428;GO:0031175;	16801
XM_031573258.1	 GO:0005938;GO:0005815;GO:0030427;GO:0000922;GO:0004857;GO:0000902;GO:1904428;GO:0031175;	16808
XM_031571797.1	 GO:0005938;GO:0005815;GO:0030427;GO:0000922;GO:0004857;GO:0000902;GO:1904428;GO:0031175;	6965
XM_031571795.1	 GO:0005938;GO:0005815;GO:0030427;GO:0000922;GO:0004857;GO:0000902;GO:1904428;GO:0031175;	16596
XM_012818824.2	 GO:0005829;GO:0005783;GO:0005788;GO:0005789;GO:0070062;GO:0030176;GO:0005779;GO:0005778;GO:0005886;GO:0035579;GO:0003996;GO:0047676;GO:0005524;GO:0047747;GO:0102391;GO:0019899;GO:0015245;GO:0005324;GO:0004467;GO:0050197;GO:0070251;GO:0031957;GO:0006699;GO:0001561;GO:0006635;GO:0044539;GO:0001676;GO:0097089;GO:0043312;GO:0006625;GO:0042760;	20
XM_031574370.1	 GO:0005938;GO:0030427;GO:0000902;GO:0031175;	562
XM_012840269.2	 GO:0005634;GO:0003700;GO:0046872;GO:0000978;GO:0008285;GO:0045600;GO:0045944;GO:1903025;GO:0006357;	73159
XM_031582218.1	 GO:0005634;GO:0003682;GO:0042393;GO:0045892;	50
XM_031567274.1	 GO:0005737;GO:0005615;GO:0004865;GO:0005977;GO:0035556;	31
XM_031573252.1	 GO:0005789;GO:0016021;GO:0008375;GO:0016757;GO:0006004;GO:0036066;	7351
XM_012828437.2	 GO:0005789;GO:0016021;GO:0008375;GO:0016757;GO:0006004;GO:0036066;	45
XM_031573250.1	-	1735
XM_012828444.2	-	394
XM_012827082.2	-	487
XM_012828067.2	 GO:0016021;GO:0005886;GO:0004930;GO:0004984;GO:0004888;GO:0007186;GO:0007608;	57
XM_031574145.1	 GO:0016021;GO:0005886;GO:0004930;GO:0004984;GO:0004888;GO:0007186;	57
XM_031570813.1	 GO:0005615;GO:0005886;GO:0005125;GO:0005164;GO:0009987;GO:0050830;GO:0006959;GO:0006954;GO:0048535;GO:0048147;GO:0043065;GO:0008284;GO:0002876;GO:0060252;GO:0002925;GO:0032729;GO:0042493;GO:0001666;GO:0032496;GO:0007584;	290
XM_012842081.2	 GO:0016021;GO:0005886;GO:0004930;GO:0004984;GO:0007608;	156
XM_031574095.1	 GO:0016021;GO:0005886;GO:0004930;GO:0004984;GO:0007608;	50
XM_031560305.1	-	73
XM_031573311.1	-	1735
XM_012833903.2	 GO:0005938;GO:0042995;GO:0005737;GO:0031410;GO:0005856;GO:0005829;GO:0005789;GO:0070062;GO:0005925;GO:0043231;GO:0005886;GO:0030667;GO:0005525;GO:0003924;GO:0019901;GO:0030036;GO:0007015;GO:0090630;GO:0060326;GO:0030031;GO:0030865;GO:0043652;GO:0007163;GO:0008045;GO:0043312;GO:0008284;GO:0051897;GO:1903078;GO:0045893;GO:0016601;GO:0032956;GO:0008360;GO:1902622;GO:1900027;GO:0051056;GO:0007266;	260
XM_012838478.2	 GO:0005938;GO:0042995;GO:0005737;GO:0031410;GO:0005856;GO:0010008;GO:0043231;GO:0005886;GO:0005525;GO:0003924;GO:0046872;GO:0019901;GO:0030036;GO:0007015;GO:0032488;GO:0016477;GO:0030031;GO:0030865;GO:0006897;GO:0007163;GO:0032956;GO:0008360;	27
XM_012827198.2	 GO:0005938;GO:0071944;GO:0042995;GO:0005737;GO:0031410;GO:0005856;GO:0005829;GO:0012505;GO:0070062;GO:0031941;GO:0030426;GO:0043231;GO:0030027;GO:0043005;GO:0043025;GO:0048471;GO:0005886;GO:0045202;GO:0048306;GO:0005525;GO:0003924;GO:0019901;GO:0030036;GO:0007015;GO:0030031;GO:0021894;GO:0030865;GO:0007163;GO:0048873;GO:0035556;GO:0050885;GO:0031175;GO:0033630;GO:1900026;GO:0032956;GO:0008360;GO:0014041;GO:0051056;GO:0007264;GO:0051932;GO:0016055;	41
XM_031572841.1	 GO:0032541;GO:0005783;GO:0030426;GO:0030176;GO:0005887;GO:0005874;GO:0005886;GO:0044853;GO:0032991;GO:0033017;GO:0005246;GO:0005509;GO:0042802;GO:0051010;GO:0002020;GO:0015279;GO:0032237;GO:0006812;GO:0006874;GO:0005513;GO:0070166;GO:0014902;GO:0045762;GO:0045766;GO:0051924;GO:2001256;GO:0002115;	78323
XM_012840177.2	 GO:0005783;GO:0005789;GO:0016021;GO:0005886;GO:0005246;GO:0005509;GO:0015279;GO:0032237;GO:0006874;GO:0051928;GO:0002115;	1829
XM_031579808.1	 GO:0016513;GO:0005737;GO:0005829;GO:0043231;GO:0000790;GO:0005730;GO:0005654;GO:0005634;GO:0005524;GO:0003700;GO:0000981;GO:0000977;GO:0002062;GO:0030097;GO:0043371;GO:0045786;GO:0050680;GO:0000122;GO:0030182;GO:0001503;GO:0048935;GO:0043378;GO:0045893;GO:0006468;GO:0045595;GO:0006357;GO:0006355;GO:0071559;	41
XM_031568019.1	 GO:0005634;GO:0046872;GO:0003714;GO:0060575;GO:0010977;GO:0045746;GO:0000122;GO:0045892;GO:0010976;	20917
XM_012829891.2	 GO:0005730;GO:0005654;GO:0005634;GO:0140293;GO:0019213;GO:0016798;GO:0007420;GO:0006974;GO:0140291;GO:0051725;GO:0042278;GO:0009617;	7413
XM_031563363.1	-	6462
XM_031576805.1	-	10741
XM_012833874.2	 GO:0005634;GO:0003677;GO:0008270;GO:0007275;	32
XM_031581261.1	 GO:0005677;GO:0005694;GO:0005654;GO:0003682;GO:0031507;GO:0045892;	29877
XM_031573314.1	 GO:0030673;GO:0009986;GO:0016021;GO:0005886;GO:0008046;GO:0042802;GO:0035904;GO:0003180;GO:0007411;GO:0016199;GO:0007420;GO:0003272;GO:0007156;GO:0001656;GO:0050925;GO:0021891;GO:0003148;GO:0050772;GO:0035481;GO:0003184;GO:0031290;GO:0001657;GO:0060412;	152428
XM_031573319.1	 GO:0030673;GO:0009986;GO:0016021;GO:0005886;GO:0008046;GO:0042802;GO:0035904;GO:0003180;GO:0007411;GO:0016199;GO:0007420;GO:0003272;GO:0007156;GO:0001656;GO:0050925;GO:0021891;GO:0003148;GO:0050772;GO:0035481;GO:0003184;GO:0031290;GO:0001657;GO:0060412;	152436
XM_031564914.1	 GO:0001650;GO:0005730;GO:0005654;GO:0005634;GO:0000932;GO:0043204;GO:0032993;GO:0031298;GO:0005524;GO:0003682;GO:0003677;GO:0003917;GO:0003690;GO:0019904;GO:0004674;GO:0003723;GO:0000978;GO:0003697;GO:0097100;GO:0006338;GO:0007059;GO:0032922;GO:0007623;GO:0006260;GO:0006265;GO:0040016;GO:0018105;GO:0016310;GO:0012501;GO:0042493;GO:0016032;	21
XM_012814291.2	 GO:1904115;GO:0000781;GO:0001673;GO:0016604;GO:0000784;GO:0000783;GO:0005654;GO:0005634;GO:0070187;GO:0003691;GO:0019899;GO:0098505;GO:0008022;GO:0042803;GO:0044877;GO:0042162;GO:0008089;GO:0099087;GO:0007049;GO:0001701;GO:1903770;GO:2000773;GO:1905778;GO:0010629;GO:1904430;GO:1904354;GO:0032205;GO:0032208;GO:0032211;GO:1904357;GO:1905839;GO:0010628;GO:0051000;GO:0032206;GO:0031848;GO:0070198;GO:0032204;GO:0032210;GO:0006278;GO:0016233;GO:0000723;GO:0061820;GO:0031627;	266
XM_012829877.2	-	161
XM_031576683.1	 GO:0005829;GO:0005576;GO:0005794;GO:0008201;GO:0001525;GO:0060218;GO:0090263;GO:0030177;GO:0048010;GO:0016055;	106
XM_012818794.2	 GO:0005829;GO:0005783;GO:0034663;GO:0005789;GO:0042470;GO:0030496;GO:0048471;GO:0005886;GO:0033018;GO:0005524;GO:0050750;GO:0019903;GO:0003723;GO:0051082;GO:0031247;GO:0071318;GO:0043066;GO:0006457;GO:0043666;GO:0001666;GO:0030970;GO:0030433;	34
XM_031577812.1	 GO:0005737;GO:0005829;GO:0070062;GO:0016020;GO:0005634;GO:1990904;GO:0005876;GO:0003677;GO:0019899;GO:0003950;GO:1990404;GO:0008219;GO:0006464;GO:0006974;GO:0006281;GO:0006954;GO:0006471;GO:0140289;GO:0051972;GO:0042493;	58
XM_031559412.1	-	47
XM_031569806.1	 GO:0032154;GO:0030425;GO:0098978;GO:0016021;GO:0043025;GO:0098794;GO:0032587;GO:0005086;GO:0005543;GO:0032012;	22
XM_012826881.2	 GO:0030057;GO:0016607;GO:0005681;GO:0003677;GO:0006397;GO:0008380;	40
XM_031558013.1	 GO:0030176;GO:0015031;GO:0007165;	22
XM_031581963.1	 GO:0005615;GO:0005886;GO:0005509;GO:0005113;GO:0008233;GO:0001708;GO:0007267;GO:0016539;GO:0048709;GO:0016540;GO:0010468;GO:0070445;GO:0007224;GO:0055002;	23
XM_031582621.1	 GO:0005737;GO:0030866;GO:0060047;GO:0022604;	34
XM_031584138.1	 GO:0005737;GO:0005730;GO:0005634;GO:0004000;GO:0003726;GO:0003725;GO:0046872;GO:0003723;GO:0003727;GO:0008251;GO:0006382;GO:0006397;GO:0006396;	41
XM_012830515.2	 GO:0005829;GO:0012505;GO:0005789;GO:0070062;GO:0005770;GO:0005764;GO:0042470;GO:0045335;GO:0030670;GO:0005886;GO:0032588;GO:0030133;GO:0019003;GO:0005525;GO:0003924;GO:0042802;GO:0006886;GO:0052405;GO:0045921;GO:0032482;GO:0032880;GO:0042147;	27
XM_031580179.1	 GO:0030424;GO:0043679;GO:0042995;GO:0030425;GO:0043197;GO:0005789;GO:0005887;GO:0099055;GO:0031226;GO:0005874;GO:0005741;GO:0005739;GO:0031594;GO:0043025;GO:0043204;GO:0048471;GO:0005886;GO:0014069;GO:0042383;GO:0016528;GO:0045202;GO:0015368;GO:1905060;GO:0005432;GO:0005516;GO:0099580;GO:0046872;GO:1990034;GO:0098703;GO:0070588;GO:0060402;GO:0007154;GO:0006874;GO:0071320;GO:0071456;GO:0002244;GO:0007612;GO:0007611;GO:0060291;GO:0007613;GO:0030001;GO:0051560;GO:0006851;GO:0098815;GO:0042552;GO:0071901;GO:0048709;GO:0014819;GO:0035725;GO:0006814;GO:0050808;GO:0021537;	51
XM_031566851.1	 GO:0005887;GO:0005886;GO:0015129;GO:0015293;GO:0035879;	8027
XM_031573316.1	 GO:0030673;GO:0009986;GO:0070062;GO:0016021;GO:0005886;GO:0008046;GO:0042802;GO:0035904;GO:0003180;GO:0061364;GO:0007411;GO:0016199;GO:0007420;GO:0032870;GO:0007417;GO:0003272;GO:0007156;GO:0001656;GO:0050925;GO:0051964;GO:0021891;GO:0003148;GO:0050772;GO:0035481;GO:0003184;GO:0031290;GO:0021510;GO:0001657;GO:0060412;	108189
XM_031572188.1	 GO:0030673;GO:0009986;GO:0070062;GO:0016021;GO:0005886;GO:0008046;GO:0042802;GO:0035904;GO:0003180;GO:0061364;GO:0007411;GO:0016199;GO:0007420;GO:0032870;GO:0007417;GO:0003272;GO:0007156;GO:0001656;GO:0050925;GO:0051964;GO:0021891;GO:0003148;GO:0050772;GO:0035481;GO:0003184;GO:0031290;GO:0021510;GO:0001657;GO:0060412;	84671
XM_012827809.2	 GO:0005737;GO:0005829;GO:0046872;GO:0004843;GO:0030968;GO:0016236;GO:0016579;GO:0035871;GO:1990167;GO:0035523;GO:1990168;GO:0071108;GO:0070536;GO:0030433;	3875
XM_012824680.2	-	19
XM_012822213.2	 GO:0000145;GO:0016020;GO:0006887;GO:0006893;GO:0006904;	1151
XM_031566840.1	-	1107
XM_012832455.2	-	21
XM_031576425.1	 GO:0016021;GO:0030968;	3481
XM_031572628.1	 GO:0005884;GO:0005912;GO:0005923;GO:0030057;GO:0051015;GO:0030036;GO:0007015;GO:0070830;GO:0003382;	4295
