CNV_locus	CHR	POS	outlier
Chr4_61761	Chr4	61761	FALSE
Chr4_61894	Chr4	61894	FALSE
Chr4_62124	Chr4	62124	FALSE
Chr4_62430	Chr4	62430	FALSE
Chr4_62607	Chr4	62607	FALSE
Chr4_62896	Chr4	62896	FALSE
Chr4_63874	Chr4	63874	FALSE
Chr4_63876	Chr4	63876	TRUE
Chr4_63997	Chr4	63997	FALSE
Chr4_64067	Chr4	64067	FALSE
Chr4_64393	Chr4	64393	FALSE
Chr4_64430	Chr4	64430	FALSE
Chr4_64596	Chr4	64596	FALSE
Chr4_64605	Chr4	64605	FALSE
Chr4_64725	Chr4	64725	FALSE
Chr4_64885	Chr4	64885	FALSE
Chr4_65086	Chr4	65086	FALSE
Chr4_65189	Chr4	65189	FALSE
Chr4_65215	Chr4	65215	FALSE
Chr4_65285	Chr4	65285	FALSE
Chr4_65860	Chr4	65860	FALSE
Chr4_65915	Chr4	65915	FALSE
Chr4_65951	Chr4	65951	FALSE
Chr4_66090	Chr4	66090	FALSE
Chr4_66099	Chr4	66099	FALSE
Chr4_66121	Chr4	66121	FALSE
Chr4_66251	Chr4	66251	FALSE
Chr4_66311	Chr4	66311	FALSE
Chr4_66350	Chr4	66350	FALSE
Chr4_66357	Chr4	66357	FALSE
